ZIP_Code,Restaurant_Name,Rating,Review_Count,Price_Level,Latitude,Longitude,Category,Neighborhood,Address
90028,The Hollywood Rooftop Restaurant & Bar by Madame Tussauds,4.6,151,2.0,34.101717,-118.341569,Food,Hollywood,"6933 Hollywood Blvd, Los Angeles, CA 90028, USA"
90028,Jemma Hollywood,4.6,167,2.0,34.102441,-118.326895,Food,Hollywood,"1717 Vine St, Los Angeles, CA 90028, USA"
90028,Musso & Frank Grill,4.6,3562,3.0,34.101753,-118.335361,Steak House,Hollywood,"6667 Hollywood Blvd, Hollywood, CA 90028, USA"
90028,Mel's Drive-In Hollywood,4.2,4028,2.0,34.100897,-118.338354,Diner,Hollywood,"1660 Highland Ave, Los Angeles, CA 90028, USA"
90046,El Compadre Restaurant of Hollywood,4.3,2260,2.0,34.097788,-118.352236,Bar And Grill,Hollywood,"7408 W Sunset Blvd, Los Angeles, CA 90046, USA"
90028,Superba Food + Bread Hollywood,4.6,513,2.0,34.09775,-118.332621,Food,Hollywood,"6530 W Sunset Blvd, Los Angeles, CA 90028, USA"
90028,25 Degrees,4.2,1268,2.0,34.101358,-118.341947,Bar And Grill,Hollywood,"7000 Hollywood Blvd, Los Angeles, CA 90028, USA"
90028,Running Goose,4.5,706,2.0,34.100536,-118.329328,Food,Hollywood,"1620 N Cahuenga Blvd, Los Angeles, CA 90028, USA"
33020,The Tipsy Boar,4.6,2209,2.0,26.010353,-80.145285,Bar,Hollywood,"1906 Harrison St, Hollywood, FL 33020, USA"
90046,Bossa Nova Brazilian Cuisine,4.4,3452,2.0,34.098238,-118.346581,Bakery,Hollywood,"7181 W Sunset Blvd, Los Angeles, CA 90046, USA"
90028,Seasoning Alley Hollywood,4.9,23,,34.102268,-118.340366,Food,Hollywood,"Inside dining desk, 6801 Hollywood Blvd # 309, Hollywood, CA 90028, USA"
90028,St Felix Hollywood,4.3,640,2.0,34.099986,-118.329391,Wedding Venue,Hollywood,"1602 N Cahuenga Blvd, Hollywood, CA 90028, USA"
90068,Beachwood Cafe Hollywood,4.6,1465,2.0,34.119981,-118.32127,Diner,Hollywood,"2695 Beachwood Dr, Los Angeles, CA 90068, USA"
33019,GG's Waterfront,4.4,5888,3.0,26.016045,-80.117536,Steak House,Hollywood,"606 N Ocean Dr, Hollywood, FL 33019, USA"
90028,Hui Tou Xiang,4.4,286,2.0,34.101019,-118.329769,Food,Hollywood,"1643 N Cahuenga Blvd, Los Angeles, CA 90028, USA"
90028,TAO,4.4,1800,3.0,34.099952,-118.330384,Food,Hollywood,"6421 Selma Ave, Los Angeles, CA 90028, USA"
90028,"The Waffle • Best Breakfast, Lunch, and Cocktails near the Hollywood Walk of Fame",4.4,2308,2.0,34.098252,-118.325746,Diner,Hollywood,"6255 W Sunset Blvd, Los Angeles, CA 90028, USA"
90028,Lemon Grove,4.5,140,,34.102362,-118.327316,Bar,Hollywood,"1717 Vine St Floor 6, Los Angeles, CA 90028, USA"
90038,Petit Trois,4.4,1004,3.0,34.084162,-118.338189,Bar,Hollywood,"718 Highland Ave, Los Angeles, CA 90038, USA"
90069,La Boheme,4.6,1639,2.0,34.090414,-118.37365,Bar,West Hollywood,"8400 Santa Monica Blvd, West Hollywood, CA 90069, USA"
90048,The Henry,4.5,939,3.0,34.076113,-118.383274,Bar,West Hollywood,"120 N Robertson Blvd, Los Angeles, CA 90048, USA"
90069,Bottega Louie WEHO,4.4,1112,3.0,34.083923,-118.384983,Food,West Hollywood,"8936 Santa Monica Blvd, West Hollywood, CA 90069, USA"
90069,Merois | West Hollywood,4.6,319,,34.094632,-118.373579,Food,West Hollywood,"8430 W Sunset Blvd, West Hollywood, CA 90069, USA"
90048,GRANVILLE,4.5,1443,2.0,34.077156,-118.380687,Food,West Hollywood,"8701 Beverly Blvd, West Hollywood, CA 90048, USA"
90069,"The Butcher, The Baker, The Cappuccino Maker",4.4,2325,2.0,34.092133,-118.38058,Bakery,West Hollywood,"8653 W Sunset Blvd, West Hollywood, CA 90069, USA"
90069,Cecconi's West Hollywood,4.4,1465,3.0,34.080505,-118.385041,Food,West Hollywood,"8764 Melrose Ave, West Hollywood, CA 90069, USA"
90069,Gracias Madre,4.5,4042,3.0,34.081023,-118.386966,Bar,West Hollywood,"8905 Melrose Ave, West Hollywood, CA 90069, USA"
90069,WeHo Bistro,4.5,977,2.0,34.090445,-118.376132,Bar And Grill,West Hollywood,"1040 N La Cienega Blvd, West Hollywood, CA 90069, USA"
90069,The Butcher's Daughter,4.6,508,2.0,34.081052,-118.384931,Food,West Hollywood,"8755 Melrose Ave, West Hollywood, CA 90069, USA"
90069,Saltie Girl,4.4,235,,34.092576,-118.379496,Food,West Hollywood,"8615 W Sunset Blvd, West Hollywood, CA 90069, USA"
90069,Zinqué,4.3,948,2.0,34.081276,-118.382685,Wine Bar,West Hollywood,"8684 Melrose Ave, West Hollywood, CA 90069, USA"
